canonical_id;isbn13;isbn10;title;title_normalized;authors;first_author;publisher;pub_date;pub_year;language;categories;num_pages;format;description;rating_value;rating_count;price_amount;price_currency;source_preference;most_complete_url;ingestion_date_goodreads;ingestion_date_google
9781449361327;9781449361327;1449361323;Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking;data science for business what you need to know about data mining and dataanalytic thinking;Foster Provost | Tom Fawcett;Foster Provost;O'Reilly Media;2013-09-17;2013;english;Technology | Business | Nonfiction | Computer Science | Programming | Computers;413;Paperback;"Written by renowned data science experts Foster Provost and Tom Fawcett, Data Science for Business introduces the fundamental principles of data science, and walks you through the ""data-analytic thinking"" necessary for extracting useful knowledge and business value from the data you collect. This guide also helps you understand the many data-mining techniques in use today. Based on an MBA course Provost has taught at New York University over the past ten years, Data Science for Business provides examples of real-world business problems to illustrate these principles. You’ll not only learn how to improve communication between business stakeholders and data scientists, but also how participate intelligently in your company’s data science projects. You’ll also discover how to think data-analytically, and fully appreciate how data science methods can support business decision-making.";4.13;2624;;;goodreads;https://www.goodreads.com/book/show/17912916;2025-11-21T00:07:12.008520;
9781118661468;9781118661468;111866146X;Data Smart: Using Data Science to Transform Information into Insight;data smart using data science to transform information into insight;John W. Foreman;John W. Foreman;John Wiley & Sons;2013-10-31;2013;english;Technology | Business | Nonfiction | Computer Science | Programming | Computers;409;Paperback;"Data Science gets thrown around in the press like it's magic. Major retailers are predicting everything from when their customers are pregnant to when they want a new pair of Chuck Taylors. It's a brave new world where seemingly meaningless data can be transformed into valuable insight to drive smart business decisions.
But how does one exactly do data science? Do you have to hire one of these priests of the dark arts, the ""data scientist,"" to extract this gold from your data? Nope.
Data science is little more than using straight-forward steps to process raw data into actionable insight. And in Data Smart, author and data scientist John Foreman will show you how that's done within the familiar environment of a spreadsheet. 
Why a spreadsheet? It's comfortable! You get to look at the data every step of the way, building confidence as you learn the tricks of the trade. Plus, spreadsheets are a vendor-neutral place to learn data science without the hype. 
But don't let the Excel sheets fool you. This is a book for those serious about learning the analytic techniques, the math and the magic, behind big data.
Each chapter will cover a different technique in a spreadsheet so you can follow along:
 - Mathematical optimization, including non-linear programming and genetic algorithms
- Clustering via k-means, spherical k-means, and graph modularity
- Data mining in graphs, such as outlier detection
- Supervised AI through logistic regression, ensemble models, and bag-of-words models
- Forecasting, seasonal adjustments, and prediction intervals through monte carlo simulation
- Moving from spreadsheets into the R programming language
You get your hands dirty as you work alongside John through each technique. But never fear, the topics are readily applicable and the author laces humor throughout. You'll even learn what a dead squirrel has to do with optimization modeling, which you no doubt are dying to know.";4.12;1015;;;goodreads;https://www.goodreads.com/book/show/17682206;2025-11-21T00:07:15.267233;
9781647826314;9781647826314;1647826314;Mindmasters: The Data-Driven Science of Predicting and Changing Human Behavior;mindmasters the datadriven science of predicting and changing human behavior;Sandra Matz | SANDRA. MATZ;Sandra Matz;Harvard Business Review Press;2025-01-07;2025;english;Psychology | Technology | Business | Nonfiction | Sociology | Business & Economics;240;Hardcover;"A refreshingly relatable exploration of how algorithms penetrate the most intimate aspects of our psychology, and how we can regain mastery over our lives—from the pioneering expert of psychological targeting.
There are more digital pieces of data than stars in the universe. This data helps us monitor our planet, decipher our genetic code, and take a deep dive into our psychology.
As algorithms become increasingly adept at accessing our minds, they also become more and more powerful at controlling it—enticing us to buy a certain product or vote for a certain political candidate. Some of us say this technological trend is no big deal. Others consider it one of the greatest threats to humanity. But what if the truth is more nuanced and mind-bending than that?
In Mindmasters, Columbia Business School professor Sandra Matz offers a fascinating insider perspective on the art and data-driven science of psychological targeting. By relating her own personal story of growing up in a small village—where few aspects of life remain truly private—to her groundbreaking research in computational psychology, Matz reveals how Big Data offers insights into the most intimate aspects of our psyche and how these insights empower external influence over the choices we make.
Filled with Ted-Talk-like explanations and real-life examples from Matz's research and consulting work, Mindmasters paints a nuanced picture of the power of psychological targeting. Like nosy neighbors, it can be creepy, manipulative, and downright harmful—with scandals like Cambridge Analytica being merely the tip of the iceberg. Yet, like any tight-knit, supportive village community, it also holds enormous potential to help us live healthier and happier lives—for example, by improving our mental health, encouraging better financial decisions, or enabling us to break out of our echo chambers.
With passion and clear-eyed precision, Matz shows us how to manage psychological targeting and redesign the data game in a way that empowers us to take back control and ask more of our personal data.
Mindmasters is a riveting look at what our digital footprints reveal about us, how they're being used—for good and for ill—and how we can gain more control and power over the data that define us.";4.04;290;;;goodreads;https://www.goodreads.com/book/show/205905685;2025-11-21T00:07:22.196873;
9781491912058;9781491912058;1491912057;Python Data Science Handbook: Essential Tools for Working with Data;python data science handbook essential tools for working with data;Jake VanderPlas | Jacob T. Vanderplas;Jake VanderPlas;O'Reilly Media;2017-01-03;2017;english;Technology | Coding | Computer Science | Programming | Nonfiction | Computers;546;Paperback;"For many researchers, Python is a first-class tool mainly because of its libraries for storing, manipulating, and gaining insight from data. Several resources exist for individual pieces of this data science stack, but only with the Python Data Science Handbook do you get them all—IPython, NumPy, Pandas, Matplotlib, Scikit-Learn, and other related tools. Working scientists and data crunchers familiar with reading and writing Python code will find this comprehensive desk reference ideal for tackling day-to-day manipulating, transforming, and cleaning data; visualizing different types of data; and using data to build statistical or machine learning models. Quite simply, this is the must-have reference for scientific computing in Python. With this handbook, you’ll learn how to";4.3;661;;;goodreads;https://www.goodreads.com/book/show/26457146;2025-11-21T00:07:32.971732;
9781449358655;9781449358655;1449358659;Doing Data Science: Straight Talk from the Frontline;doing data science straight talk from the frontline;"Cathy O&apos;Neil | Rachel Schutt | Cathy O'Neil";"Cathy O&apos;Neil";O'Reilly Media;2013-12-03;2013;english;Technology | Business | Computer Science | Programming | Nonfiction | Big data;405;Paperback;"Now that people are aware that data can make the difference in an election or a business model, data science as an occupation is gaining ground. But how can you get started working in a wide-ranging, interdisciplinary field that’s so clouded in hype? This insightful book, based on Columbia University’s Introduction to Data Science class, tells you what you need to know.
In many of these chapter-long lectures, data scientists from companies such as Google, Microsoft, and eBay share new algorithms, methods, and models by presenting case studies and the code they use. If you’re familiar with linear algebra, probability, and statistics, and have programming experience, this book is an ideal introduction to data science.
Topics include:
Statistical inference, exploratory data analysis, and the data science process
Algorithms
Spam filters, Naive Bayes, and data wrangling
Logistic regression
Financial modeling
Recommendation engines and causality
Data visualization
Social networks and data journalism
Data engineering, MapReduce, Pregel, and Hadoop
Doing Data Science
 is collaboration between course instructor Rachel Schutt, Senior VP of Data Science at News Corp, and data science consultant Cathy O’Neil, a senior data scientist at Johnson Research Labs, who attended and blogged about the course.";3.74;570;;;goodreads;https://www.goodreads.com/book/show/17346997;2025-11-21T00:07:28.971290;
9780262535434;9780262535434;0262535432;Data Science (The MIT Press Essential Knowledge series);data science the mit press essential knowledge series;John D. Kelleher | Brendan Tierney;John D. Kelleher;The MIT Press;2018-04-13;2018;english;Computers | Technology | Business | Nonfiction | Computer Science;280;Paperback;"A concise introduction to the emerging field of data science, explaining its evolution, relation to machine learning, current uses, data infrastructure issues, and ethical challenges.
The goal of data science is to improve decision making through the analysis of data. Today data science determines the ads we see online, the books and movies that are recommended to us online, which emails are filtered into our spam folders, and even how much we pay for health insurance. This volume in the 
MIT Press Essential Knowledge
 series offers a concise introduction to the emerging field of data science, explaining its evolution, current uses, data infrastructure issues, and ethical challenges.
It has never been easier for organizations to gather, store, and process data. Use of data science is driven by the rise of big data and social media, the development of high-performance computing, and the emergence of such powerful methods for data analysis and modeling as deep learning. Data science encompasses a set of principles, problem definitions, algorithms, and processes for extracting non-obvious and useful patterns from large datasets. It is closely related to the fields of data mining and machine learning, but broader in scope. This book offers a brief history of the field, introduces fundamental data concepts, and describes the stages in a data science project. It considers data infrastructure and the challenges posed by integrating data from multiple sources, introduces the basics of machine learning, and discusses how to link machine learning expertise with real-world problems. The book also reviews ethical and legal issues, developments in data regulation, and computational approaches to preserving privacy. Finally, it considers the future impact of data science and offers principles for success in data science projects.";3.9;853;;;goodreads;https://www.goodreads.com/book/show/36722689;2025-11-21T00:07:39.245863;
9789811127007;9789811127007;981112700X;Numsense! Data Science for the Layman: No Math Added;numsense data science for the layman no math added;Annalyn Ng | Kenneth Soo;Annalyn Ng;Annalyn Ng & Kenneth Soo;2017-02-03;2017;english;Mathematics | Technology | Business | Nonfiction | Computer Science;147;Kindle Edition;"---------------
Reference text for data science in top universities like Stanford and Cambridge. Sold in over 85 countries and translated into more than 5 languages.
---------------
Want to get started on data science?
Our promise: no math added.
This book has been written in layman's terms as a gentle introduction to data science and its algorithms. Each algorithm has its own dedicated chapter that explains how it works, and shows an example of a real-world application. To help you grasp key concepts, we stick to intuitive explanations and visuals.
Popular concepts covered include:
- A/B Testing
- Anomaly Detection
- Association Rules
- Clustering
- Decision Trees and Random Forests
- Regression Analysis
- Social Network Analysis
- Neural Networks
Features:
- Intuitive explanations and visuals
- Real-world applications to illustrate each algorithm
- Point summaries at the end of each chapter
- Reference sheets comparing the pros and cons of algorithms
- Glossary list of commonly-used terms
With this book, we hope to give you a practical understanding of data science, so that you, too, can leverage its strengths in making better decisions.";4.14;616;;;goodreads;https://www.goodreads.com/book/show/34213247;2025-11-21T00:07:36.261424;
9780578973838;9780578973838;0578973839;"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, &amp; Wall Street";ace the data science interview 201 real interview questions asked by faang tech startups amp wall street;Kevin Huo | Nick Singh;Kevin Huo;Ace the Data Science Interview;2021-08-16;2021;english;Technology | Textbooks | Computer Science | Programming | Nonfiction | Business & Economics;301;Paperback;"""The advice in this book directly helped me land my dream job"" — Advitya Gemawat, ML Engineer, Microsoft “An invaluable resource for the Data Science & ML community” — Aishwarya Srinivasan, Senior Data Scientist, Google ""Super helpful career advice on breaking into data & landing your first job in the field"" — Prithika Hariharan, President of Waterloo Data Science Club; Data Science Intern, Wish “FINALLY! Cracking the Coding Interview but for Data Science & ML!” — Jack Morris, AI Resident, Google “Solving the 201 interview questions is helpful for people in ALL industries, not just tech!” — Lars Hulstaert, Senior Data Scientist, Johnson & Johnson “The authors explain exactly what hiring managers look for — a must read for any data job seeker” — Michelle Scarbrough, Former Data Analytics Manager, F500 Co.
About Kevin Kevin Huo is currently a Data Scientist at a Hedge Fund , and previously was a Data Scientist at Facebook working on Facebook Groups. He holds a degree in Computer Science from the University of Pennsylvania and a degree in Business from Wharton. In college he interned at Facebook , Bloomberg , and on Wall Street .
About Nick 
Nick Singh previously worked on Facebook’s Growth Team and at SafeGraph, a geospatial analytics startup. Currently, he runs SQL interview platform DataLemur.com and shares career tips on LinkedIn to his 120,000+ followers. Nick holds a degree in System Engineering with a minor in Computer Science from the University of Virginia. In college, he interned at Microsoft and at Google’s Nest Labs on the Data Infrastructure Team.";4.32;193;;;goodreads;https://www.goodreads.com/book/show/58949285;2025-11-21T00:07:49.662320;
9781449336097;9781449336097;;What Is Data Science?;what is data science;Mike Loukides;Mike Loukides;O'Reilly Media;2012-04-10;2012;english;Professional Development | Technology | Business | Computer Science | Programming | Computers;23;Kindle Edition;"We've all heard it: according to Hal Varian, statistics is the next sexy job. Five years ago, in What is Web 2.0, Tim O'Reilly said that ""data is the next Intel Inside."" But what does that statement mean? Why do we suddenly care about statistics and about data? This report examines the many sides of data science -- the technologies, the companies and the unique skill sets.The web is full of ""data-driven apps."" Almost any e-commerce application is a data-driven application. There's a database behind a web front end, and middleware that talks to a number of other databases and data services (credit card processing companies, banks, and so on). But merely using data isn't really what we mean by ""data science."" A data application acquires its value from the data itself, and creates more data as a result. It's not just an application with data; it's a data product. Data science enables the creation of data products.";3.68;590;;EUR;goodreads;https://www.goodreads.com/book/show/13638556;2025-11-21T00:07:56.179741;
9781119741763;9781119741763;1119741769;Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning;becoming a data head how to think speak and understand data science statistics and machine learning;Alex J. Gutman | Jordan Goldmeier;Alex J. Gutman;Wiley;2021-04-13;2021;;Technology | Audiobook | Business | Nonfiction | Computer Science | Business & Economics;288;ebook;"Turn yourself into a Data Head. You'll become a more valuable employee and make your organization more successful.
Thomas H. Davenport, Research Fellow, Author of 
Competing on Analytics
, 
Big Data @ Work
, and 
The AI Advantage
You've heard the hype around data--now get the facts.
In 
Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning
, award-winning data scientists Alex Gutman and Jordan Goldmeier pull back the curtain on data science and give you the language and tools necessary to talk and think critically about it.
You'll learn how to:
Think statistically and understand the role variation plays in your life and decision making Speak intelligently and ask the right questions about the statistics and results you encounter in the workplace Understand what's really going on with machine learning, text analytics, deep learning, and artificial intelligence Avoid common pitfalls when working with and interpreting data 
Becoming a Data Head
 is a complete guide for data science in the workplace: covering everything from the personalities you'll work with to the math behind the algorithms. The authors have spent years in data trenches and sought to create a fun, approachable, and eminently readable book. Anyone can become a Data Head--an active participant in data science, statistics, and machine learning. Whether you're a business professional, engineer, executive, or aspiring data scientist, this book is for you.";4.21;424;27.99;EUR;google;;2025-11-21T00:07:42.157122;
